City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Bluff,NZ,2021-05-31 22:14:58,-46.6,168.3333,46.62,77,88,11.41
157,Hambantota,LK,2021-05-31 22:15:23,6.1241,81.1185,79.75,81,100,19.1
158,Yilan,TW,2021-05-31 22:15:41,24.757,121.753,80.37,99,100,1.16
159,Hasaki,JP,2021-05-31 22:13:07,35.7333,140.8333,63.28,76,97,7.54
160,Tiksi,RU,2021-05-31 22:14:35,71.6872,128.8694,44.98,71,7,3.38
161,Hilo,US,2021-05-31 22:12:22,19.7297,-155.09,84.79,69,90,13.8
162,Wanlaweyn,SO,2021-05-31 22:15:43,2.6185,44.8938,75.42,89,95,11.23
163,Pangnirtung,CA,2021-05-31 22:15:23,66.1451,-65.7125,33.8,86,20,9.22
164,Kolchugino,RU,2021-05-31 22:15:43,56.3,39.3833,38.3,87,31,1.1
165,Valparaiso,CL,2021-05-31 22:15:40,-33.0393,-71.6273,76.64,43,0,12.66
166,Mehamn,NO,2021-05-31 22:11:39,71.0357,27.8492,41.5,97,100,13.44
167,Iqaluit,CA,2021-05-31 22:15:44,63.7506,-68.5145,31.73,93,90,4.0
168,Auki,SB,2021-05-31 22:15:15,-8.7676,160.7034,80.87,82,85,6.13
169,Alofi,NU,2021-05-31 22:15:01,-19.0595,-169.9187,78.48,80,69,6.26
170,Svetlogorsk,BY,2021-05-31 22:15:45,52.6333,29.7333,43.16,87,14,4.38
171,Yaan,NG,2021-05-31 22:15:45,7.3833,8.5667,76.91,86,70,9.51
172,Caucaia,BR,2021-05-31 22:15:46,-3.7361,-38.6531,81.03,77,0,5.99
173,Warrnambool,AU,2021-05-31 22:15:46,-38.3833,142.4833,48.81,61,91,10.42
174,Luderitz,NA,2021-05-31 22:14:28,-26.6481,15.1594,58.14,72,0,22.95
175,Fortuna,US,2021-05-31 22:15:16,40.5982,-124.1573,99.48,60,30,3.0
176,Palauig,PH,2021-05-31 22:15:47,15.435,119.9045,82.33,78,100,2.51
177,Cervo,ES,2021-05-31 22:15:47,43.6702,-7.4101,66.2,90,55,7.47
178,Marsa Matruh,EG,2021-05-31 22:15:47,31.3525,27.2453,68.2,77,0,9.22
179,Esperance,AU,2021-05-31 22:15:48,-33.8667,121.9,55.24,78,95,21.77
180,Salta,AR,2021-05-31 22:15:48,-24.7859,-65.4117,61.39,54,0,1.99
181,Astoria,US,2021-05-31 22:15:03,46.1879,-123.8313,87.62,51,96,13.8
182,Oussouye,SN,2021-05-31 22:15:49,12.485,-16.5469,80.78,76,89,8.43
183,Barrow,US,2021-05-31 22:10:01,71.2906,-156.7887,33.82,75,90,13.8
184,Watsa,CD,2021-05-31 22:15:49,3.0372,29.5355,65.32,81,47,1.81
